orderDate,orderDate_Year,orderDate_Quarter,orderDate_Month,orderDate_Week,orderDate_Date,fiscalMonth,fiscalQuart,fiscalWeek,fiscalYear
09/18/10,2010,3,9,38,18,6,2,25,2010
09/18/10,2010,3,9,38,18,6,2,25,2010
09/18/10,2010,3,9,38,18,6,2,25,2010
05/20/09,2009,2,5,21,20,2,1,8,2009
05/20/09,2009,2,5,21,20,2,1,8,2009
05/20/09,2009,2,5,21,20,2,1,8,2009
10/19/10,2010,4,10,43,19,7,3,30,2010
10/17/07,2007,4,10,42,17,7,3,29,2007
10/06/05,2005,4,10,41,6,7,3,28,2005
02/16/05,2005,1,2,8,16,11,4,47,2004
04/18/10,2010,2,4,17,18,1,1,4,2010
04/18/10,2010,2,4,17,18,1,1,4,2010
04/18/10,2010,2,4,17,18,1,1,4,2010
04/17/10,2010,2,4,16,17,1,1,3,2010
04/10/10,2010,2,4,15,10,1,1,2,2010
04/30/08,2008,2,4,18,30,1,1,5,2008
04/30/08,2008,2,4,18,30,1,1,5,2008
10/01/05,2005,4,10,40,1,7,3,27,2005
05/23/06,2006,2,5,21,23,2,1,8,2006
05/12/06,2006,2,5,19,12,2,1,6,2006
05/12/06,2006,2,5,19,12,2,1,6,2006
07/21/07,2007,3,7,29,21,4,2,16,2007
07/26/07,2007,3,7,30,26,4,2,17,2007
04/25/06,2006,2,4,17,25,1,1,4,2006
04/25/06,2006,2,4,17,25,1,1,4,2006
07/26/05,2005,3,7,31,26,4,2,18,2005
07/26/05,2005,3,7,31,26,4,2,18,2005
07/26/05,2005,3,7,31,26,4,2,18,2005
07/26/05,2005,3,7,31,26,4,2,18,2005
07/11/07,2007,3,7,28,11,4,2,15,2007
07/11/07,2007,3,7,28,11,4,2,15,2007
11/18/05,2005,4,11,47,18,8,3,34,2005
07/16/07,2007,3,7,29,16,4,2,16,2007
07/16/07,2007,3,7,29,16,4,2,16,2007
10/20/09,2009,4,10,43,20,7,3,30,2009
11/09/09,2009,4,11,46,9,8,3,33,2009
11/09/09,2009,4,11,46,9,8,3,33,2009
11/09/09,2009,4,11,46,9,8,3,33,2009
06/14/08,2008,2,6,24,14,3,1,11,2008
06/14/08,2008,2,6,24,14,3,1,11,2008
06/12/08,2008,2,6,24,12,3,1,11,2008
06/20/08,2008,2,6,25,20,3,1,12,2008
06/13/08,2008,2,6,24,13,3,1,11,2008
07/06/08,2008,3,7,28,6,4,2,15,2008
10/24/09,2009,4,10,43,24,7,3,30,2009
10/29/09,2009,4,10,44,29,7,3,31,2009
05/02/08,2008,2,5,18,2,2,1,5,2008
05/02/08,2008,2,5,18,2,2,1,5,2008
08/03/07,2007,3,8,31,3,5,2,18,2007
04/24/09,2009,2,4,17,24,1,1,4,2009
04/24/09,2009,2,4,17,24,1,1,4,2009
04/09/09,2009,2,4,15,9,1,1,2,2009
04/09/09,2009,2,4,15,9,1,1,2,2009
11/02/09,2009,4,11,45,2,8,3,32,2009
11/02/09,2009,4,11,45,2,8,3,32,2009
04/17/09,2009,2,4,16,17,1,1,3,2009
01/22/06,2006,1,1,4,22,10,4,43,2005
03/31/05,2005,1,3,14,31,12,4,1,2004
03/13/05,2005,1,3,12,13,12,4,51,2004
03/13/05,2005,1,3,12,13,12,4,51,2004
03/21/05,2005,1,3,13,21,12,4,0,2004
03/24/05,2005,1,3,13,24,12,4,0,2004
11/19/05,2005,4,11,47,19,8,3,34,2005
03/11/05,2005,1,3,11,11,12,4,50,2004
03/11/05,2005,1,3,11,11,12,4,50,2004
04/30/08,2008,2,4,18,30,1,1,5,2008
04/03/05,2005,2,4,15,3,1,1,2,2005
04/03/05,2005,2,4,15,3,1,1,2,2005
06/12/09,2009,2,6,24,12,3,1,11,2009
04/14/09,2009,2,4,16,14,1,1,3,2009
04/14/09,2009,2,4,16,14,1,1,3,2009
11/24/07,2007,4,11,47,24,8,3,34,2007
04/17/09,2009,2,4,16,17,1,1,3,2009
08/29/07,2007,3,8,35,29,5,2,22,2007
08/26/07,2007,3,8,35,26,5,2,22,2007
09/02/07,2007,3,9,36,2,6,2,23,2007
08/14/07,2007,3,8,33,14,5,2,20,2007
11/20/05,2005,4,11,48,20,8,3,35,2005
11/20/05,2005,4,11,48,20,8,3,35,2005
08/04/07,2007,3,8,31,4,5,2,18,2007
09/03/10,2010,3,9,36,3,6,2,23,2010
11/09/05,2005,4,11,46,9,8,3,33,2005
12/14/05,2005,4,12,51,14,9,3,38,2005
12/27/05,2005,4,12,53,27,9,3,40,2005
12/27/05,2005,4,12,53,27,9,3,40,2005
01/06/06,2006,1,1,1,6,10,4,40,2005
01/06/06,2006,1,1,1,6,10,4,40,2005
04/20/09,2009,2,4,17,20,1,1,4,2009
12/07/05,2005,4,12,50,7,9,3,37,2005
12/20/05,2005,4,12,52,20,9,3,39,2005
12/27/05,2005,4,12,53,27,9,3,40,2005
03/02/09,2009,1,3,10,2,12,4,49,2008
10/22/06,2006,4,10,43,22,7,3,30,2006
06/12/06,2006,2,6,24,12,3,1,11,2006
02/13/09,2009,1,2,7,13,11,4,46,2008
03/01/09,2009,1,3,10,1,12,4,49,2008
03/01/09,2009,1,3,10,1,12,4,49,2008
03/05/09,2009,1,3,10,5,12,4,49,2008
08/04/05,2005,3,8,32,4,5,2,19,2005
05/02/06,2006,2,5,18,2,2,1,5,2006
07/22/05,2005,3,7,30,22,4,2,17,2005
07/29/05,2005,3,7,31,29,4,2,18,2005
07/28/05,2005,3,7,31,28,4,2,18,2005
07/27/05,2005,3,7,31,27,4,2,18,2005
08/09/05,2005,3,8,33,9,5,2,20,2005
07/25/05,2005,3,7,31,25,4,2,18,2005
07/25/05,2005,3,7,31,25,4,2,18,2005
08/14/05,2005,3,8,34,14,5,2,21,2005
07/24/05,2005,3,7,31,24,4,2,18,2005
07/24/05,2005,3,7,31,24,4,2,18,2005
08/12/07,2007,3,8,33,12,5,2,20,2007
08/05/07,2007,3,8,32,5,5,2,19,2007
08/09/07,2007,3,8,32,9,5,2,19,2007
08/09/07,2007,3,8,32,9,5,2,19,2007
08/09/07,2007,3,8,32,9,5,2,19,2007
08/10/07,2007,3,8,32,10,5,2,19,2007
07/19/07,2007,3,7,29,19,4,2,16,2007
08/01/07,2007,3,8,31,1,5,2,18,2007
07/25/07,2007,3,7,30,25,4,2,17,2007
07/25/07,2007,3,7,30,25,4,2,17,2007
08/09/07,2007,3,8,32,9,5,2,19,2007
08/09/07,2007,3,8,32,9,5,2,19,2007
08/06/07,2007,3,8,32,6,5,2,19,2007
10/22/06,2006,4,10,43,22,7,3,30,2006
10/22/06,2006,4,10,43,22,7,3,30,2006
06/22/07,2007,2,6,25,22,3,1,12,2007
05/25/06,2006,2,5,21,25,2,1,8,2006
05/25/06,2006,2,5,21,25,2,1,8,2006
06/07/07,2007,2,6,23,7,3,1,10,2007
06/19/07,2007,2,6,25,19,3,1,12,2007
03/10/05,2005,1,3,11,10,12,4,50,2004
03/10/05,2005,1,3,11,10,12,4,50,2004
03/10/05,2005,1,3,11,10,12,4,50,2004
04/04/05,2005,2,4,15,4,1,1,2,2005
03/20/05,2005,1,3,13,20,12,4,0,2004
06/08/10,2010,2,6,24,8,3,1,11,2010
06/08/10,2010,2,6,24,8,3,1,11,2010
06/08/10,2010,2,6,24,8,3,1,11,2010
12/06/06,2006,4,12,49,6,9,3,36,2006
06/14/10,2010,2,6,25,14,3,1,12,2010
02/26/05,2005,1,2,9,26,11,4,48,2004
10/03/06,2006,4,10,40,3,7,3,27,2006
10/08/06,2006,4,10,41,8,7,3,28,2006
10/08/06,2006,4,10,41,8,7,3,28,2006
10/01/06,2006,4,10,40,1,7,3,27,2006
10/09/06,2006,4,10,41,9,7,3,28,2006
09/23/06,2006,3,9,38,23,6,2,25,2006
09/23/06,2006,3,9,38,23,6,2,25,2006
11/28/07,2007,4,11,48,28,8,3,35,2007
11/28/07,2007,4,11,48,28,8,3,35,2007
09/19/06,2006,3,9,38,19,6,2,25,2006
09/19/06,2006,3,9,38,19,6,2,25,2006
09/19/06,2006,3,9,38,19,6,2,25,2006
12/01/08,2008,4,12,49,1,9,3,36,2008
11/14/07,2007,4,11,46,14,8,3,33,2007
11/14/07,2007,4,11,46,14,8,3,33,2007
11/30/08,2008,4,11,49,30,8,3,36,2008
11/26/07,2007,4,11,48,26,8,3,35,2007
11/26/07,2007,4,11,48,26,8,3,35,2007
11/26/07,2007,4,11,48,26,8,3,35,2007
11/05/07,2007,4,11,45,5,8,3,32,2007
11/29/08,2008,4,11,48,29,8,3,35,2008
02/09/05,2005,1,2,7,9,11,4,46,2004
11/22/08,2008,4,11,47,22,8,3,34,2008
11/22/08,2008,4,11,47,22,8,3,34,2008
11/22/08,2008,4,11,47,22,8,3,34,2008
11/22/08,2008,4,11,47,22,8,3,34,2008
11/20/08,2008,4,11,47,20,8,3,34,2008
04/11/07,2007,2,4,15,11,1,1,2,2007
04/11/07,2007,2,4,15,11,1,1,2,2007
04/11/07,2007,2,4,15,11,1,1,2,2007
02/15/05,2005,1,2,8,15,11,4,47,2004
03/03/05,2005,1,3,10,3,12,4,49,2004
03/03/05,2005,1,3,10,3,12,4,49,2004
05/16/06,2006,2,5,20,16,2,1,7,2006
12/19/08,2008,4,12,51,19,9,3,38,2008
12/19/08,2008,4,12,51,19,9,3,38,2008
02/17/06,2006,1,2,7,17,11,4,46,2005
01/17/06,2006,1,1,3,17,10,4,42,2005
01/17/06,2006,1,1,3,17,10,4,42,2005
01/17/06,2006,1,1,3,17,10,4,42,2005
09/11/07,2007,3,9,37,11,6,2,24,2007
09/11/07,2007,3,9,37,11,6,2,24,2007
09/15/07,2007,3,9,37,15,6,2,24,2007
01/17/06,2006,1,1,3,17,10,4,42,2005
01/17/06,2006,1,1,3,17,10,4,42,2005
01/22/06,2006,1,1,4,22,10,4,43,2005
02/04/06,2006,1,2,5,4,11,4,44,2005
02/04/06,2006,1,2,5,4,11,4,44,2005
02/04/06,2006,1,2,5,4,11,4,44,2005
02/04/06,2006,1,2,5,4,11,4,44,2005
02/06/06,2006,1,2,6,6,11,4,45,2005
10/26/06,2006,4,10,43,26,7,3,30,2006
10/26/06,2006,4,10,43,26,7,3,30,2006
12/26/08,2008,4,12,52,26,9,3,39,2008
12/26/08,2008,4,12,52,26,9,3,39,2008
11/30/08,2008,4,11,49,30,8,3,36,2008
11/22/08,2008,4,11,47,22,8,3,34,2008
10/24/07,2007,4,10,43,24,7,3,30,2007
10/24/07,2007,4,10,43,24,7,3,30,2007
11/08/07,2007,4,11,45,8,8,3,32,2007
10/31/07,2007,4,10,44,31,7,3,31,2007
05/27/09,2009,2,5,22,27,2,1,9,2009
05/27/09,2009,2,5,22,27,2,1,9,2009
05/27/09,2009,2,5,22,27,2,1,9,2009
05/27/09,2009,2,5,22,27,2,1,9,2009
10/20/07,2007,4,10,42,20,7,3,29,2007
10/31/07,2007,4,10,44,31,7,3,31,2007
10/31/07,2007,4,10,44,31,7,3,31,2007
04/28/09,2009,2,4,18,28,1,1,5,2009
05/07/09,2009,2,5,19,7,2,1,6,2009
05/07/09,2009,2,5,19,7,2,1,6,2009
04/25/09,2009,2,4,17,25,1,1,4,2009
05/25/10,2010,2,5,22,25,2,1,9,2010
05/25/10,2010,2,5,22,25,2,1,9,2010
08/04/08,2008,3,8,32,4,5,2,19,2008
08/04/08,2008,3,8,32,4,5,2,19,2008
07/12/08,2008,3,7,28,12,4,2,15,2008
07/12/08,2008,3,7,28,12,4,2,15,2008
06/19/10,2010,2,6,25,19,3,1,12,2010
06/09/10,2010,2,6,24,9,3,1,11,2010
06/09/10,2010,2,6,24,9,3,1,11,2010
07/29/08,2008,3,7,31,29,4,2,18,2008
06/17/10,2010,2,6,25,17,3,1,12,2010
07/17/08,2008,3,7,29,17,4,2,16,2008
07/17/08,2008,3,7,29,17,4,2,16,2008
06/21/09,2009,2,6,26,21,3,1,13,2009
06/21/09,2009,2,6,26,21,3,1,13,2009
06/07/10,2010,2,6,24,7,3,1,11,2010
06/07/10,2010,2,6,24,7,3,1,11,2010
06/07/10,2010,2,6,24,7,3,1,11,2010
06/07/10,2010,2,6,24,7,3,1,11,2010
06/16/09,2009,2,6,25,16,3,1,12,2009
06/23/09,2009,2,6,26,23,3,1,13,2009
07/27/08,2008,3,7,31,27,4,2,18,2008
07/27/08,2008,3,7,31,27,4,2,18,2008
07/22/08,2008,3,7,30,22,4,2,17,2008
06/06/07,2007,2,6,23,6,3,1,10,2007
06/06/07,2007,2,6,23,6,3,1,10,2007
06/06/07,2007,2,6,23,6,3,1,10,2007
12/20/08,2008,4,12,51,20,9,3,38,2008
12/20/08,2008,4,12,51,20,9,3,38,2008
12/06/09,2009,4,12,50,6,9,3,37,2009
12/06/09,2009,4,12,50,6,9,3,37,2009
12/23/09,2009,4,12,52,23,9,3,39,2009
07/28/09,2009,3,7,31,28,4,2,18,2009
07/28/09,2009,3,7,31,28,4,2,18,2009
05/24/09,2009,2,5,22,24,2,1,9,2009
05/24/09,2009,2,5,22,24,2,1,9,2009
05/24/09,2009,2,5,22,24,2,1,9,2009
05/24/09,2009,2,5,22,24,2,1,9,2009
01/04/10,2010,1,1,2,4,10,4,41,2009
08/30/05,2005,3,8,36,30,5,2,23,2005
12/18/09,2009,4,12,51,18,9,3,38,2009
12/15/09,2009,4,12,51,15,9,3,38,2009
12/23/09,2009,4,12,52,23,9,3,39,2009
12/23/09,2009,4,12,52,23,9,3,39,2009
12/12/09,2009,4,12,50,12,9,3,37,2009
12/24/09,2009,4,12,52,24,9,3,39,2009
12/24/09,2009,4,12,52,24,9,3,39,2009
12/24/09,2009,4,12,52,24,9,3,39,2009
12/24/09,2009,4,12,52,24,9,3,39,2009
02/27/05,2005,1,2,10,27,11,4,49,2004
02/27/05,2005,1,2,10,27,11,4,49,2004
05/18/10,2010,2,5,21,18,2,1,8,2010
04/30/08,2008,2,4,18,30,1,1,5,2008
04/30/08,2008,2,4,18,30,1,1,5,2008
04/30/08,2008,2,4,18,30,1,1,5,2008
03/04/05,2005,1,3,10,4,12,4,49,2004
03/05/05,2005,1,3,10,5,12,4,49,2004
11/21/05,2005,4,11,48,21,8,3,35,2005
06/22/06,2006,2,6,25,22,3,1,12,2006
11/26/05,2005,4,11,48,26,8,3,35,2005
11/26/05,2005,4,11,48,26,8,3,35,2005
07/09/06,2006,3,7,28,9,4,2,15,2006
07/09/06,2006,3,7,28,9,4,2,15,2006
12/06/05,2005,4,12,50,6,9,3,37,2005
06/13/06,2006,2,6,24,13,3,1,11,2006
06/13/06,2006,2,6,24,13,3,1,11,2006
06/13/06,2006,2,6,24,13,3,1,11,2006
06/30/06,2006,2,6,26,30,3,1,13,2006
06/30/06,2006,2,6,26,30,3,1,13,2006
12/08/05,2005,4,12,50,8,9,3,37,2005
12/08/05,2005,4,12,50,8,9,3,37,2005
02/10/05,2005,1,2,7,10,11,4,46,2004
02/09/05,2005,1,2,7,9,11,4,46,2004
02/09/05,2005,1,2,7,9,11,4,46,2004
02/10/05,2005,1,2,7,10,11,4,46,2004
11/27/05,2005,4,11,49,27,8,3,36,2005
11/27/05,2005,4,11,49,27,8,3,36,2005
01/19/05,2005,1,1,4,19,10,4,43,2004
06/22/05,2005,2,6,26,22,3,1,13,2005
06/19/06,2006,2,6,25,19,3,1,12,2006
01/31/05,2005,1,1,6,31,10,4,45,2004
01/31/05,2005,1,1,6,31,10,4,45,2004
01/31/05,2005,1,1,6,31,10,4,45,2004
10/07/06,2006,4,10,40,7,7,3,27,2006
10/07/06,2006,4,10,40,7,7,3,27,2006
05/12/06,2006,2,5,19,12,2,1,6,2006
03/31/06,2006,1,3,13,31,12,4,0,2005
03/08/06,2006,1,3,10,8,12,4,49,2005
02/11/09,2009,1,2,7,11,11,4,46,2008
02/22/09,2009,1,2,9,22,11,4,48,2008
01/12/06,2006,1,1,2,12,10,4,41,2005
01/12/06,2006,1,1,2,12,10,4,41,2005
01/12/06,2006,1,1,2,12,10,4,41,2005
02/24/09,2009,1,2,9,24,11,4,48,2008
02/24/09,2009,1,2,9,24,11,4,48,2008
01/24/09,2009,1,1,4,24,10,4,43,2008
01/24/09,2009,1,1,4,24,10,4,43,2008
02/09/09,2009,1,2,7,9,11,4,46,2008
01/14/06,2006,1,1,2,14,10,4,41,2005
01/14/06,2006,1,1,2,14,10,4,41,2005
01/24/09,2009,1,1,4,24,10,4,43,2008
01/24/09,2009,1,1,4,24,10,4,43,2008
08/18/09,2009,3,8,34,18,5,2,21,2009
08/18/09,2009,3,8,34,18,5,2,21,2009
08/18/09,2009,3,8,34,18,5,2,21,2009
08/01/09,2009,3,8,31,1,5,2,18,2009
08/01/09,2009,3,8,31,1,5,2,18,2009
08/01/09,2009,3,8,31,1,5,2,18,2009
01/08/10,2010,1,1,2,8,10,4,41,2009
07/30/09,2009,3,7,31,30,4,2,18,2009
07/30/09,2009,3,7,31,30,4,2,18,2009
08/08/09,2009,3,8,32,8,5,2,19,2009
08/08/09,2009,3,8,32,8,5,2,19,2009
08/08/09,2009,3,8,32,8,5,2,19,2009
08/08/09,2009,3,8,32,8,5,2,19,2009
08/14/09,2009,3,8,33,14,5,2,20,2009
08/14/09,2009,3,8,33,14,5,2,20,2009
08/08/09,2009,3,8,32,8,5,2,19,2009
08/08/09,2009,3,8,32,8,5,2,19,2009
08/04/09,2009,3,8,32,4,5,2,19,2009
08/09/09,2009,3,8,33,9,5,2,20,2009
10/31/09,2009,4,10,44,31,7,3,31,2009
10/31/09,2009,4,10,44,31,7,3,31,2009
10/23/07,2007,4,10,43,23,7,3,30,2007
10/28/07,2007,4,10,44,28,7,3,31,2007
04/12/05,2005,2,4,16,12,1,1,3,2005
04/03/05,2005,2,4,15,3,1,1,2,2005
04/03/05,2005,2,4,15,3,1,1,2,2005
10/10/09,2009,4,10,41,10,7,3,28,2009
03/28/05,2005,1,3,14,28,12,4,1,2004
03/28/05,2005,1,3,14,28,12,4,1,2004
04/08/05,2005,2,4,15,8,1,1,2,2005
03/31/05,2005,1,3,14,31,12,4,1,2004
10/01/09,2009,4,10,40,1,7,3,27,2009
04/14/05,2005,2,4,16,14,1,1,3,2005
04/14/05,2005,2,4,16,14,1,1,3,2005
04/14/05,2005,2,4,16,14,1,1,3,2005
04/14/05,2005,2,4,16,14,1,1,3,2005
11/18/09,2009,4,11,47,18,8,3,34,2009
03/30/05,2005,1,3,14,30,12,4,1,2004
09/23/09,2009,3,9,39,23,6,2,26,2009
09/17/06,2006,3,9,38,17,6,2,25,2006
09/17/06,2006,3,9,38,17,6,2,25,2006
11/20/09,2009,4,11,47,20,8,3,34,2009
11/20/09,2009,4,11,47,20,8,3,34,2009
11/20/09,2009,4,11,47,20,8,3,34,2009
12/14/09,2009,4,12,51,14,9,3,38,2009
12/14/09,2009,4,12,51,14,9,3,38,2009
09/20/06,2006,3,9,38,20,6,2,25,2006
09/20/06,2006,3,9,38,20,6,2,25,2006
08/16/08,2008,3,8,33,16,5,2,20,2008
08/10/08,2008,3,8,33,10,5,2,20,2008
08/13/08,2008,3,8,33,13,5,2,20,2008
08/13/08,2008,3,8,33,13,5,2,20,2008
08/19/08,2008,3,8,34,19,5,2,21,2008
08/19/08,2008,3,8,34,19,5,2,21,2008
07/30/08,2008,3,7,31,30,4,2,18,2008
07/26/08,2008,3,7,30,26,4,2,17,2008
07/26/08,2008,3,7,30,26,4,2,17,2008
07/26/08,2008,3,7,30,26,4,2,17,2008
08/27/10,2010,3,8,35,27,5,2,22,2010
08/27/10,2010,3,8,35,27,5,2,22,2010
08/21/10,2010,3,8,34,21,5,2,21,2010
08/07/10,2010,3,8,32,7,5,2,19,2010
08/07/10,2010,3,8,32,7,5,2,19,2010
08/20/10,2010,3,8,34,20,5,2,21,2010
07/31/08,2008,3,7,31,31,4,2,18,2008
04/02/08,2008,2,4,14,2,1,1,1,2008
10/14/09,2009,4,10,42,14,7,3,29,2009
10/14/09,2009,4,10,42,14,7,3,29,2009
11/02/09,2009,4,11,45,2,8,3,32,2009
11/06/09,2009,4,11,45,6,8,3,32,2009
11/06/09,2009,4,11,45,6,8,3,32,2009
10/06/09,2009,4,10,41,6,7,3,28,2009
09/25/05,2005,3,9,40,25,6,2,27,2005
10/28/09,2009,4,10,44,28,7,3,31,2009
10/14/09,2009,4,10,42,14,7,3,29,2009
06/26/09,2009,2,6,26,26,3,1,13,2009
06/26/09,2009,2,6,26,26,3,1,13,2009
06/26/09,2009,2,6,26,26,3,1,13,2009
06/07/09,2009,2,6,24,7,3,1,11,2009
06/07/09,2009,2,6,24,7,3,1,11,2009
06/24/09,2009,2,6,26,24,3,1,13,2009
05/29/09,2009,2,5,22,29,2,1,9,2009
05/29/09,2009,2,5,22,29,2,1,9,2009
05/29/09,2009,2,5,22,29,2,1,9,2009
06/13/09,2009,2,6,24,13,3,1,11,2009
06/07/09,2009,2,6,24,7,3,1,11,2009
06/23/05,2005,2,6,26,23,3,1,13,2005
06/07/09,2009,2,6,24,7,3,1,11,2009
06/07/09,2009,2,6,24,7,3,1,11,2009
09/16/09,2009,3,9,38,16,6,2,25,2009
06/20/10,2010,2,6,26,20,3,1,13,2010
10/11/07,2007,4,10,41,11,7,3,28,2007
09/29/07,2007,3,9,39,29,6,2,26,2007
07/18/07,2007,3,7,29,18,4,2,16,2007
10/21/07,2007,4,10,43,21,7,3,30,2007
10/21/07,2007,4,10,43,21,7,3,30,2007
10/21/07,2007,4,10,43,21,7,3,30,2007
02/06/06,2006,1,2,6,6,11,4,45,2005
07/08/10,2010,3,7,28,8,4,2,15,2010
06/19/10,2010,2,6,25,19,3,1,12,2010
06/19/10,2010,2,6,25,19,3,1,12,2010
06/19/10,2010,2,6,25,19,3,1,12,2010
06/18/10,2010,2,6,25,18,3,1,12,2010
06/16/10,2010,2,6,25,16,3,1,12,2010
03/09/09,2009,1,3,11,9,12,4,50,2008
03/07/09,2009,1,3,10,7,12,4,49,2008
03/28/09,2009,1,3,13,28,12,4,0,2008
05/05/06,2006,2,5,18,5,2,1,5,2006
03/14/09,2009,1,3,11,14,12,4,50,2008
02/01/06,2006,1,2,5,1,11,4,44,2005
02/01/06,2006,1,2,5,1,11,4,44,2005
05/18/06,2006,2,5,20,18,2,1,7,2006
02/03/09,2009,1,2,6,3,11,4,45,2008
01/21/06,2006,1,1,3,21,10,4,42,2005
05/14/06,2006,2,5,20,14,2,1,7,2006
05/14/06,2006,2,5,20,14,2,1,7,2006
02/01/06,2006,1,2,5,1,11,4,44,2005
02/01/06,2006,1,2,5,1,11,4,44,2005
02/07/07,2007,1,2,6,7,11,4,45,2006
02/07/07,2007,1,2,6,7,11,4,45,2006
02/07/07,2007,1,2,6,7,11,4,45,2006
01/06/06,2006,1,1,1,6,10,4,40,2005
01/06/06,2006,1,1,1,6,10,4,40,2005
05/22/06,2006,2,5,21,22,2,1,8,2006
05/22/06,2006,2,5,21,22,2,1,8,2006
05/22/06,2006,2,5,21,22,2,1,8,2006
07/10/06,2006,3,7,28,10,4,2,15,2006
02/03/09,2009,1,2,6,3,11,4,45,2008
07/03/06,2006,3,7,27,3,4,2,14,2006
07/03/06,2006,3,7,27,3,4,2,14,2006
07/03/06,2006,3,7,27,3,4,2,14,2006
02/13/09,2009,1,2,7,13,11,4,46,2008
06/14/06,2006,2,6,24,14,3,1,11,2006
12/03/08,2008,4,12,49,3,9,3,36,2008
12/03/08,2008,4,12,49,3,9,3,36,2008
12/03/08,2008,4,12,49,3,9,3,36,2008
12/03/08,2008,4,12,49,3,9,3,36,2008
12/01/08,2008,4,12,49,1,9,3,36,2008
01/01/06,2006,1,1,1,1,10,4,40,2005
06/04/06,2006,2,6,23,4,3,1,10,2006
06/04/06,2006,2,6,23,4,3,1,10,2006
11/23/08,2008,4,11,48,23,8,3,35,2008
11/23/08,2008,4,11,48,23,8,3,35,2008
05/25/06,2006,2,5,21,25,2,1,8,2006
05/25/06,2006,2,5,21,25,2,1,8,2006
12/10/08,2008,4,12,50,10,9,3,37,2008
05/02/06,2006,2,5,18,2,2,1,5,2006
06/14/06,2006,2,6,24,14,3,1,11,2006
05/23/08,2008,2,5,21,23,2,1,8,2008
05/23/08,2008,2,5,21,23,2,1,8,2008
05/23/08,2008,2,5,21,23,2,1,8,2008
06/17/08,2008,2,6,25,17,3,1,12,2008
06/17/08,2008,2,6,25,17,3,1,12,2008
02/15/06,2006,1,2,7,15,11,4,46,2005
